cumulative_rebate_amount,year_quarter,quarter_as_int
41600,2017 Q1,1
1588500,2017 Q2,2
3857800,2017 Q3,3
6179000,2017 Q4,4
7964200,2018 Q1,5
10287900,2018 Q2,6
13207200,2018 Q3,7
16776400,2018 Q4,8
21021600,2019 Q1,9
22806700,2019 Q2,10
25853300,2019 Q3,11
29523100,2019 Q4,12
33635800,2020 Q1,13
37340500,2020 Q2,14
42753200,2020 Q3,15
51605100,2020 Q4,16
53807300,2021 Q1,17
52275016,2021 Q2,18
55611134,2021 Q3,19
58947252,2021 Q4,20
62283371,2022 Q1,21
65619489,2022 Q2,22
68955607,2022 Q3,23
72291725,2022 Q4,24
75627843,2023 Q1,25
78963961,2023 Q2,26
82300079,2023 Q3,27
85636198,2023 Q4,28
88972316,2024 Q1,29
92308434,2024 Q2,30
95644552,2024 Q3,31
98980670,2024 Q4,32